id,customer_name,address,pincode,latitude,longitude,weight,payment_mode,payment_status,driver_id,amount,created_at,batch_id,customer_phone,otp_verified
fe42d8eb-34db-4bf8-8b7e-3729ddbda822,Stephanie Rodriguez,"103 Booth Wells Apt. 722, Wilsonstad, MN 60418",560002,18.230506,40.353937,2.01,cod,pending,,201.0,2025-07-21T09:25:33.780246,,+916363547255,True
12fa25f1-fe51-4f87-b821-edfb1217890a,Ashley Sims,"51903 Gonzalez Lodge Apt. 910, Stephenfort, IL 48169",400003,-48.536813,-12.461855,0.78,cod,failed,,78.0,2025-07-21T09:25:33.780779,,+916363547255,False
b71b7093-faa4-48d3-8d8f-32f545aae43e,Leslie Campbell,"5730 Griffin Courts, Wilkinsonshire, NM 30193",600001,-82.895294,174.156833,4.18,prepaid,failed,,418.0,2025-07-21T09:25:33.781233,,+916363547255,False
3272b253-0d98-45b6-8210-e977af4acdd1,Rebecca Lewis,"771 Cannon Meadow Suite 897, Lake Mallory, SD 02511",700002,-30.782875,141.500923,1.78,upi,failed,,178.0,2025-07-21T09:25:33.781675,,+916363547255,True
cdc8c746-3d47-4239-9631-900c67acfb00,Donna Olson,"83772 Jo Well Suite 921, East Paulfurt, OH 89239",600002,-68.374928,-99.140421,2.64,upi,paid,,264.0,2025-07-21T09:25:33.782063,,+916363547255,False
e1c1537a-7873-4260-a5e3-9016e194c78c,Lisa Hobbs,"051 Allen Roads, West Austin, NH 48205",400003,34.336612,-83.867687,1.57,upi,paid,,157.0,2025-07-21T09:25:33.782453,,+916363547255,False
d10afd18-af2d-467d-99f9-cd9a7a1a122b,Richard White,"7011 Kirk Village, Austinhaven, AZ 53680",700001,-77.456332,-143.369939,3.52,cod,pending,,352.0,2025-07-21T09:25:33.782860,,+916363547255,True
8da2a6fa-e36e-4da7-8142-fe5c7a26dfd0,Ann Thompson,"65706 Byrd Bridge, Quinnstad, SC 91572",700003,-58.462775,2.321920,4.35,prepaid,failed,,435.0,2025-07-21T09:25:33.783276,,+916363547255,False
3b802c0d-7a80-43ab-b43b-1cfe7fa129dc,Denise Griffin,"55210 Cowan Islands Apt. 611, West Marcus, ND 90412",560001,-77.514128,-75.924937,4.22,prepaid,pending,,422.0,2025-07-21T09:25:33.783763,,+916363547255,True
4ccca5ba-357e-44ee-b19f-78845593dd3b,James Young,"7548 Briana Inlet, South Christinaburgh, MI 80515",560001,-17.816362,179.581577,3.31,cod,paid,,331.0,2025-07-21T09:25:33.784340,,+916363547255,True
